source	status	mapped_parents	result
0bd9b31685c2ff838d9ae192795d975efd61d9d1	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
ca580674caa4e2f22c07790cb98b2d02e4ba97f4	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
e2403f422eb7dd14075473539983f27f793ac409	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
f1f5b7be19c99ebf384cf4476953a2e65e2d874e	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
90116f3f5c2ec9e049b7b533ec4669f4f56bc627	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
2fe704d553d3b46c21557609bfc533e40e7d7173	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
c119912b2dc5dab9013df744fb0023a1153a1dab	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
3963ea04df7702d014c030506dbb92b0c6ed109e	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
aa875c737fd759372a1db480416a3a77ca261d88	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
93bcb16baa675d62f3859ca50750517ad7c8cf76	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
178bfc8f7c80f712835782307d03c2939fe6b873	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
fb54c42397a11c6ebcd13e87dd3d8bffdeef679a	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
9aa38d0538cdbe1a0e53d86b1fe723b0dd6cb905	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
0a45c1aa538a1850caa2b40e9c7e2333ba83cabb	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
1ff51a733e5a8091be5de39c74b0a9978a7f5ce3	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
b16ce26410ddf8ba4dafc22d947eec7c03bf0a5e	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
f6f6516289043f45fcd3ec5522e3e9e5f771598f	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
9059ee370a06af0b3f0258ef9d421201e4490bf8	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
60c6387584071dd526e365a7d1ccc1c637f60614	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
a1eb553ab890789367d66fdfcd21847fdc887032	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
d8f4830844a353f1534394848978eeb0fbfc2d9a	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
f107d11ac96bca7d7f11123811b32ccd7b870bff	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
6a20ff92ab911fe8d67c65a1b696e0a8599d2db5	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
6af8a70628429c0306ac91cc9996f0eda7de69c3	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
fe72585afcfca2759113626666ca752b7d5da96a	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
6dae293b3bac6194ab9f9a23751accf9bf6525bb	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
4e1640dadec248c447214492bebd2364b9e2a863	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
2df8986cdf70d0df2d6cb108f5bd1d4c1943fdce	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
684d0b514e77597a25d10e2f472ce634b87128ee	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
36b7f7b2bb6d4c6e239bffcddd6cf5e99888f883	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
cf0a1effa06d1f8ebb67b8c86ac257d92c96a402	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
42828a652adcac8a7e60f9ec9509e720c2b88b71	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
92ca221ec257fe90ada23813700f3378ffd1283e	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
2886d8ff72d56bcfee3ee36259da057da3f4ab81	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
bb34400c6a15f94a3221c9a749b79d37480dee2e	pruned	ee7227862034b24f005142880c958a10d0155a94	ee7227862034b24f005142880c958a10d0155a94
f1f78e2a89cb9666cc6adb2f9cafb527c16f94f1	retained	ee7227862034b24f005142880c958a10d0155a94	11932e6842ae711a3fe8773bfa025fcba1969f9a
52fe4abb6612c3872902737d17b0ff85fb625ae5	retained	11932e6842ae711a3fe8773bfa025fcba1969f9a	f2d1fa676d202e2de3fd2b0c9b2b4528a5d6f755
0661dd8ac8f90ebce0a83e39eae49ea6d5c86862	retained	f2d1fa676d202e2de3fd2b0c9b2b4528a5d6f755	bab9a6b4c8d7332298c9d077c5f5199ae6a23fa3
015960eefef8f26a46570519447088edec276b67	retained	bab9a6b4c8d7332298c9d077c5f5199ae6a23fa3	2892216345de6b66701c1aa80c6eb0411df718f4
c4c5dcc964885b2209172843c045982e9c852d6a	retained	2892216345de6b66701c1aa80c6eb0411df718f4	ab99776508b462263dc8cf404b9aa1fb1b846629
7a9ef1a50748e89806b52435a704f2c0a61a066e	retained	ab99776508b462263dc8cf404b9aa1fb1b846629	70e86df6ea81c90e0b2eea5db8673c0eb7ac34f3
b49bf0929d32fa7207f0d41099b6aada57d3d8e4	retained	70e86df6ea81c90e0b2eea5db8673c0eb7ac34f3	4532aa63e267ce53a343bc1da3da98d1c230d627
c8819540b9759e6523ccec5eb4b188a8575e5f04	retained	4532aa63e267ce53a343bc1da3da98d1c230d627	70239d7fe8093eee286b5e5f6eb3394c32ff5e09
4e7ea09de7961dc143862b1c1bb86abcb8ebd4d8	retained	70239d7fe8093eee286b5e5f6eb3394c32ff5e09	1e7214f9f67d854ba6f0da1db29320ede18a5626
35b5afdc650bbc0cdf5c690a4c9293a29c964492	retained	1e7214f9f67d854ba6f0da1db29320ede18a5626	0bbe0a16fbe71611a2f54a7d1d8ce7eecd1ab3c7
5430f498e96afc0cd43f87856db23bdd614d78bf	pruned	0bbe0a16fbe71611a2f54a7d1d8ce7eecd1ab3c7	0bbe0a16fbe71611a2f54a7d1d8ce7eecd1ab3c7
471604a94b3b6f28febcbdbe13ad67848b8218ce	retained	0bbe0a16fbe71611a2f54a7d1d8ce7eecd1ab3c7	04a69eb1dcfa7242091277550651448ae8996dcd
143132cd20cfeb804020e713033e205bf0ec2f08	retained	04a69eb1dcfa7242091277550651448ae8996dcd	e6dabdbb3d0453e29ea7566745b2c2706f4882ba
76ccdbec69badb93c8d5a60b6f94bbfaccdccaf1	retained	e6dabdbb3d0453e29ea7566745b2c2706f4882ba	81b796c2bf4bee3236f0d13f036c7decf4f8d585
f504e40dfd95f92a132d490800e90f56d71a63a6	pruned	81b796c2bf4bee3236f0d13f036c7decf4f8d585	81b796c2bf4bee3236f0d13f036c7decf4f8d585
63c3072ee7fae3e8a5bd4e2a2f53f4ada66f2ecb	pruned	81b796c2bf4bee3236f0d13f036c7decf4f8d585	81b796c2bf4bee3236f0d13f036c7decf4f8d585
83b38490978020ca6db82d1ab4409c189c5ee224	pruned	81b796c2bf4bee3236f0d13f036c7decf4f8d585	81b796c2bf4bee3236f0d13f036c7decf4f8d585
758a0bd5859fa98d67a67efa1b110240e841e97c	pruned	81b796c2bf4bee3236f0d13f036c7decf4f8d585	81b796c2bf4bee3236f0d13f036c7decf4f8d585
bafbaa6d275d78af29dc82a0a6b89fe11cca85e7	pruned	81b796c2bf4bee3236f0d13f036c7decf4f8d585	81b796c2bf4bee3236f0d13f036c7decf4f8d585
1386a32aebc7a0a67bcf8bb83bc6efc90c0d50db	retained	81b796c2bf4bee3236f0d13f036c7decf4f8d585	691c74d8a2c7b9ee3f93e922b1c48f01bd4a07f1
4f8eb38f76c6379178b5443dcf463b5ab743ceb0	retained	691c74d8a2c7b9ee3f93e922b1c48f01bd4a07f1	c0af536553bb31f8aa596acf91e51612d209192a
60c15c448df9b7ec89c48bf9c84400d3b9229ef2	retained	c0af536553bb31f8aa596acf91e51612d209192a	07f920d11d36648796189da4d841bf8c7a7aceb4
5e2e2d44b3e9bdbe9865a1f5c69e1d37e5872b95	retained	07f920d11d36648796189da4d841bf8c7a7aceb4	974bf8b0c598ec0bfd87aca86e2aec7e125fb0c3
6ee02b1da51d2a60caf3c3838c01466281838733	retained	974bf8b0c598ec0bfd87aca86e2aec7e125fb0c3	c099704172b49678f98decc6eead942eb4cb421a
3b78f4af2cf2c519853359d89523c1810dd466de	pruned	c099704172b49678f98decc6eead942eb4cb421a	c099704172b49678f98decc6eead942eb4cb421a
e88b3a8bf4113bc495a9a3fa969ec448c0d6d3d9	retained	c099704172b49678f98decc6eead942eb4cb421a	e9dd3ffd1d0d05a45b5e906dac5d97c3d801640d
6a96d98c3fd8f9208aa94ae162fa098453d5724c	retained	e9dd3ffd1d0d05a45b5e906dac5d97c3d801640d	9eefb79431c39bff1b6202987e3e7ab86d01a944
f5e1e7020e58b1a396cd20dfed5529e665414084	retained	9eefb79431c39bff1b6202987e3e7ab86d01a944	70f5963e8172ec0ff260a19b712b4c026eb0964b
